experiment,pipeline,seed,shift_type,severity,rotation_deg,noise_std,loss,auroc,accuracy,balanced_accuracy,precision,recall,f1,threshold,n_samples,auroc_drop_from_clean,accuracy_drop_from_clean,balanced_accuracy_drop_from_clean,precision_drop_from_clean,recall_drop_from_clean,f1_drop_from_clean
voxel_robust,voxel,42,clean,0.0,0.0,0.0,0.503915473818779,0.9355834533854703,0.9214659685863874,0.8034575015435275,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.8499999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
voxel_clean,voxel,42,clean,0.0,0.0,0.0,0.4743037670850754,0.8934623036290046,0.8769633507853403,0.7783837552308431,0.4666666666666667,0.6511627906976745,0.5436893203883495,0.3499999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_ablation_xyz_512,point,42,clean,0.0,0.0,0.0,0.5177948027849197,0.8809768813884887,0.8403141361256544,0.7780407491253345,0.38461538461538464,0.6976744186046512,0.49586776859504134,0.38999999999999996,382,0.0,0.0,0.0,0.0,0.0,0.0
point_robust_xyzI_512,point,42,clean,0.0,0.0,0.0,0.5479138195514679,0.8657474103039035,0.8691099476439791,0.784111957192838,0.4461538461538462,0.6744186046511628,0.5370370370370371,0.6399999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_ablation_xyzI_512,point,42,clean,0.0,0.0,0.0,0.643976295987765,0.8621801468066131,0.8743455497382199,0.7667558482540989,0.4576271186440678,0.627906976744186,0.5294117647058824,0.7999999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_ablation_xyzI_1024,point,42,clean,0.0,0.0,0.0,0.6430314679940542,0.8608081223845784,0.8272251308900523,0.8112780407491254,0.37362637362637363,0.7906976744186046,0.5074626865671642,0.5499999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_clean_xyzI_512,point,42,clean,0.0,0.0,0.0,0.5292675296465555,0.8541538039377101,0.8324607329842932,0.7939219318103863,0.3764705882352941,0.7441860465116279,0.5,0.27499999999999997,382,0.0,0.0,0.0,0.0,0.0,0.0
