experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr
point_robust_xyzI_512_seed52,52,1,0.7029776998928615,0.8685542742411295,0.5147928994082841,0.11518324607329843,0.5,0.001
point_robust_xyzI_512_seed52,52,2,0.6291239290010362,0.8183764715989431,0.7374932759548145,0.4607329842931937,0.6754975793437332,0.001
point_robust_xyzI_512_seed52,52,3,0.6459966216768537,0.7269258896509806,0.7541689080150619,0.6178010471204188,0.7049488972565896,0.001
point_robust_xyzI_512_seed52,52,4,0.6131509428932553,0.770082970460256,0.6568047337278106,0.7382198952879581,0.6346153846153846,0.001
point_robust_xyzI_512_seed52,52,5,0.6218478693848565,0.6797406276067098,0.7444862829478214,0.6963350785340314,0.6900215169445938,0.001
point_robust_xyzI_512_seed52,52,6,0.5679993303049178,0.717997262875239,0.8017751479289941,0.6335078534031413,0.733593329747176,0.001
point_robust_xyzI_512_seed52,52,7,0.6129818984440395,0.7114647229512533,0.7549757934373319,0.6073298429319371,0.718800430338892,0.001
point_robust_xyzI_512_seed52,52,8,0.589344825063433,0.6246864199638367,0.7681549220010759,0.7382198952879581,0.6543840774610006,0.001
point_robust_xyzI_512_seed52,52,9,0.5795504748821259,0.6444267729918162,0.8308230231307154,0.6596858638743456,0.7483862291554599,0.001
point_robust_xyzI_512_seed52,52,10,0.5809180225644793,0.5827582875887553,0.8020441097364175,0.806282722513089,0.6928456159225389,0.001
point_robust_xyzI_512_seed52,52,11,0.5908938986914498,0.6204563975334167,0.7859064012910167,0.7643979057591623,0.7284830554061323,0.001
point_robust_xyzI_512_seed52,52,12,0.5549640002704802,0.6488373478253683,0.7635825712748789,0.7958115183246073,0.6869284561592254,0.0005
point_robust_xyzI_512_seed52,52,13,0.5348789663541884,0.6342044075330099,0.7888649811726735,0.774869109947644,0.6948628294782141,0.0005
point_robust_xyzI_512_seed52,52,14,0.5250033026649839,0.6010923186937968,0.8136094674556213,0.7591623036649214,0.6859870898332436,0.0005
point_robust_xyzI_512_seed52,52,15,0.5388058452379136,0.5611830850442251,0.8222162452931684,0.806282722513089,0.7916890801506187,0.00025
