experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr
point_clean_xyzI_512_seed52,52,1,0.6527769083068484,1.4637194871902466,0.5626681011296396,0.11518324607329843,0.5,0.001
point_clean_xyzI_512_seed52,52,2,0.5239276956944239,0.8847256104151408,0.7902097902097902,0.43455497382198954,0.6409359870898332,0.001
point_clean_xyzI_512_seed52,52,3,0.4796433448791504,0.645666758219401,0.7875201721355568,0.7539267015706806,0.7621032813340505,0.001
point_clean_xyzI_512_seed52,52,4,0.44483875376837595,0.5864511430263519,0.8060785368477675,0.8272251308900523,0.7244486282947822,0.001
point_clean_xyzI_512_seed52,52,5,0.4052362371058691,0.6484972834587097,0.8262506724045187,0.7382198952879581,0.7729962345346961,0.001
point_clean_xyzI_512_seed52,52,6,0.3944078967684791,0.6328708330790201,0.822754168908015,0.7382198952879581,0.7334588488434642,0.001
point_clean_xyzI_512_seed52,52,7,0.37638803394067855,0.58349080880483,0.8267885960193653,0.8481675392670157,0.7165142549757935,0.001
point_clean_xyzI_512_seed52,52,8,0.3575535366932551,0.695888489484787,0.8286713286713288,0.7015706806282722,0.7522861753630985,0.001
point_clean_xyzI_512_seed52,52,9,0.3228127282290232,0.5599841475486755,0.8278644432490586,0.8952879581151832,0.7629101667563206,0.001
point_clean_xyzI_512_seed52,52,10,0.3094797858170101,0.6131635904312134,0.8442711135018828,0.8586387434554974,0.6235879505110274,0.001
point_clean_xyzI_512_seed52,52,11,0.3543027689059575,0.79939071337382,0.8084991931145777,0.743455497382199,0.7364174287251211,0.001
point_clean_xyzI_512_seed52,52,12,0.3092766815707797,0.6423296431700388,0.8031199569661109,0.8324607329842932,0.7274072081764389,0.001
point_clean_xyzI_512_seed52,52,13,0.28782007807777044,0.5636952718098959,0.878698224852071,0.8481675392670157,0.815357719203873,0.001
point_clean_xyzI_512_seed52,52,14,0.2829514259383792,0.5845020214716593,0.8641742872512105,0.8481675392670157,0.7955890263582571,0.001
point_clean_xyzI_512_seed52,52,15,0.25777815991923925,0.6852008104324341,0.8058095750403443,0.8691099476439791,0.649273803119957,0.001
point_clean_xyzI_512_seed52,52,16,0.287876946585519,0.840793788433075,0.8076923076923077,0.774869109947644,0.6948628294782141,0.0005
point_clean_xyzI_512_seed52,52,17,0.25285968965008143,0.5288987855116526,0.919849381387843,0.8691099476439791,0.8469607315761163,0.0005
point_clean_xyzI_512_seed52,52,18,0.2155050379889352,0.5891045133272806,0.869284561592254,0.8638743455497382,0.7649273803119957,0.0005
point_clean_xyzI_512_seed52,52,19,0.2013604243596395,0.5861070354779562,0.8168370091447015,0.900523560209424,0.7461000537923614,0.0005
point_clean_xyzI_512_seed52,52,20,0.19859532160418375,0.6177533268928528,0.8523399677245831,0.8481675392670157,0.7955890263582571,0.00025
point_clean_xyzI_512_seed52,52,21,0.1858808994293213,0.5874721805254618,0.8768154922001077,0.8691099476439791,0.8074233458848843,0.00025
point_clean_xyzI_512_seed52,52,22,0.17971081605979375,0.6338289578755697,0.8821947283485745,0.8586387434554974,0.8212748789671867,0.00025
point_clean_xyzI_512_seed52,52,23,0.1708880215883255,0.6557091573874155,0.788327057557827,0.8795811518324608,0.7540344271113502,0.000125
