experiment,pipeline,seed,shift_type,severity,rotation_deg,noise_std,loss,auroc,accuracy,balanced_accuracy,precision,recall,f1,threshold,n_samples,auroc_drop_from_clean,accuracy_drop_from_clean,balanced_accuracy_drop_from_clean,precision_drop_from_clean,recall_drop_from_clean,f1_drop_from_clean
voxel_robust,voxel,42,clean,0.0,0.0,0.0,0.503915473818779,0.9355834533854703,0.9214659685863874,0.8034575015435275,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.8499999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
voxel_robust,voxel,42,rotation,15.0,15.0,0.0,0.5129452000061671,0.92371544213487,0.918848167539267,0.7918295945667833,0.6428571428571429,0.627906976744186,0.6352941176470588,0.8499999999999999,382,0.01186801125060033,0.002617801047120394,0.011627906976744207,0.00830564784053156,0.023255813953488413,0.015868673050615678
voxel_robust,voxel,42,rotation,30.0,30.0,0.0,0.5437533358732859,0.9169239212457981,0.9057591623036649,0.7743019825752898,0.5777777777777777,0.6046511627906976,0.5909090909090909,0.8499999999999999,382,0.018659532139672197,0.015706806282722474,0.029155518968237648,0.07338501291989674,0.04651162790697683,0.060253699788583526
voxel_robust,voxel,42,rotation,45.0,45.0,0.0,0.5968819955984751,0.8883858132674761,0.8900523560209425,0.7552994443301091,0.5102040816326531,0.5813953488372093,0.5434782608695652,0.8499999999999999,382,0.04719764011799421,0.03141361256544495,0.04815805721341837,0.1409587090650214,0.06976744186046513,0.10768452982810928
voxel_robust,voxel,42,noise,0.03,0.0,0.03,0.546472946802775,0.9359950607120806,0.8952879581151832,0.7988612197297111,0.5272727272727272,0.6744186046511628,0.5918367346938775,0.8499999999999999,382,-0.0004116073266102749,0.02617801047120416,0.0045962818138163275,0.12389006342494724,-0.023255813953488302,0.05932605600379692
voxel_robust,voxel,42,noise,0.06,0.0,0.06,0.6442518432935079,0.9343486314056391,0.8691099476439791,0.8145708993620087,0.4507042253521127,0.7441860465116279,0.5614035087719298,0.8499999999999999,382,0.0012348219798312687,0.05235602094240832,-0.011113397818481197,0.20045856534556178,-0.09302325581395343,0.08975928192574467
voxel_robust,voxel,42,noise,0.1,0.0,0.1,0.6623964856068293,0.929409343486314,0.8743455497382199,0.8073677711463263,0.4626865671641791,0.7209302325581395,0.5636363636363636,0.8499999999999999,382,0.006174109899156344,0.04712041884816753,-0.003910269602798833,0.18847622353349536,-0.06976744186046502,0.08752642706131086
point_robust_xyzI_512,point,42,clean,0.0,0.0,0.0,0.5479138195514679,0.8657474103039035,0.8691099476439791,0.784111957192838,0.4461538461538462,0.6744186046511628,0.5370370370370371,0.6399999999999999,382,0.0,0.0,0.0,0.0,0.0,0.0
point_robust_xyzI_512,point,42,rotation,15.0,15.0,0.0,0.745853841304779,0.8482540989229608,0.7513089005235603,0.7685051793921931,0.2833333333333333,0.7906976744186046,0.4171779141104294,0.6399999999999999,382,0.017493311380942678,0.11780104712041883,0.0156067778006449,0.16282051282051285,-0.11627906976744184,0.11985912292660766
point_robust_xyzI_512,point,42,rotation,30.0,30.0,0.0,0.7707887490590414,0.8089455992316663,0.7460732984293194,0.735096384715648,0.2672413793103448,0.7209302325581395,0.389937106918239,0.6399999999999999,382,0.05680181107223714,0.12303664921465973,0.04901557247719002,0.17891246684350137,-0.046511627906976716,0.14709993011879807
