experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr
point_ablation_xyz_512,42,1,0.6448282670407068,1.5091468294461567,0.6455083378160301,0.11518324607329843,0.5,0.001
point_ablation_xyz_512,42,2,0.5537764926751455,0.8851141830285391,0.8047337278106509,0.3717277486910995,0.6054330285099516,0.001
point_ablation_xyz_512,42,3,0.5089190105597178,0.6378295222918192,0.8450779989241528,0.680628272251309,0.7602205486820872,0.001
point_ablation_xyz_512,42,4,0.46148072254090083,0.6411254604657491,0.8028509951586875,0.7696335078534031,0.731441635287789,0.001
point_ablation_xyz_512,42,5,0.4277654517264593,0.5448933839797974,0.8289402904787521,0.7958115183246073,0.766003227541689,0.001
point_ablation_xyz_512,42,6,0.3916539507252829,0.5875076452891032,0.8310919849381387,0.8219895287958116,0.6819526627218935,0.0005
point_ablation_xyz_512,42,7,0.36295178674516226,0.5540770888328552,0.8563743948359334,0.8115183246073299,0.7748789671866595,0.0005
point_ablation_xyz_512,42,8,0.3157848673207419,0.6245846450328827,0.8587950511027433,0.774869109947644,0.7541689080150619,0.0005
point_ablation_xyz_512,42,9,0.2939094177314213,0.5599337915579478,0.8830016137708446,0.8481675392670157,0.8548951048951049,0.0005
point_ablation_xyz_512,42,10,0.2744095694451105,0.6063830455144247,0.8160301237224314,0.8638743455497382,0.685852608929532,0.0005
point_ablation_xyz_512,42,11,0.27296315417403266,0.5583643515904745,0.8547606239913933,0.8115183246073299,0.7551102743410436,0.0005
point_ablation_xyz_512,42,12,0.24536266710077012,0.5718215803305308,0.865519096288327,0.837696335078534,0.8094405594405594,0.00025
point_ablation_xyz_512,42,13,0.2237334826162883,0.5592135290304819,0.8469607315761162,0.8743455497382199,0.7906132329209252,0.00025
point_ablation_xyz_512,42,14,0.20342624613216945,0.5627429087956747,0.8908015061861215,0.837696335078534,0.8292092522861754,0.00025
point_ablation_xyz_512,42,15,0.19583651352496373,0.5780503749847412,0.8752017213555676,0.8743455497382199,0.7313071543840775,0.00025
point_ablation_xyz_512,42,16,0.1985666680903662,0.5933088660240173,0.8612157073695534,0.8638743455497382,0.7649273803119957,0.00025
point_ablation_xyz_512,42,17,0.18757811543487368,0.5986021757125854,0.8359332974717592,0.8638743455497382,0.8044647660032276,0.000125
point_ablation_xyz_512,42,18,0.18524401457536788,0.5932909746964773,0.8687466379774073,0.8534031413612565,0.778778913394298,0.000125
point_ablation_xyz_512,42,19,0.17733774866376603,0.6059999664624532,0.8940290478752018,0.8534031413612565,0.778778913394298,0.000125
point_ablation_xyz_512,42,20,0.1747538120973678,0.6073935031890869,0.8418504572350727,0.8638743455497382,0.7451586874663798,0.000125
point_ablation_xyz_512,42,21,0.17307947221256437,0.6064939002195994,0.8372781065088758,0.8795811518324608,0.7935718128025819,0.000125
point_ablation_xyz_512,42,22,0.16704352412905013,0.5457455317179362,0.8819257665411511,0.8691099476439791,0.8271920387305003,6.25e-05
point_ablation_xyz_512,42,23,0.1783290675708226,0.5830252965291342,0.8423883808499193,0.8691099476439791,0.8074233458848843,6.25e-05
point_ablation_xyz_512,42,24,0.16966168440523602,0.5595897634824117,0.8703604088219473,0.900523560209424,0.8251748251748252,6.25e-05
point_ablation_xyz_512,42,25,0.17833533847615832,0.6104294757048289,0.828940290478752,0.8743455497382199,0.7510758472296934,3.125e-05
