experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr
point_ablation_xyzI_512,42,1,0.6451237286840167,0.7644105156262716,0.6538461538461539,0.2774869109947644,0.5521785906401291,0.001
point_ablation_xyzI_512,42,2,0.5072702808039529,0.8189118305842081,0.7832167832167832,0.46596858638743455,0.658687466379774,0.001
point_ablation_xyzI_512,42,3,0.4854837471530551,0.597677876551946,0.8093060785368478,0.8219895287958116,0.6226465841850457,0.001
point_ablation_xyzI_512,42,4,0.45861793132055373,0.588243712981542,0.8752017213555675,0.7382198952879581,0.7729962345346961,0.001
point_ablation_xyzI_512,42,5,0.42923214322044734,0.7426904340585073,0.8601398601398602,0.6544502617801047,0.7256589564281872,0.001
point_ablation_xyzI_512,42,6,0.40942510962486267,0.6154935161272684,0.8418504572350726,0.7539267015706806,0.7818719741796665,0.001
point_ablation_xyzI_512,42,7,0.38728668150447665,0.5611015955607096,0.8469607315761162,0.8324607329842932,0.7867132867132867,0.0005
point_ablation_xyzI_512,42,8,0.370732490505491,0.5429811477661133,0.8555675094136633,0.8429319371727748,0.7926304464766003,0.0005
point_ablation_xyzI_512,42,9,0.33075239828654696,0.5885550081729889,0.8633674018289403,0.7801047120418848,0.7768961807423346,0.0005
point_ablation_xyzI_512,42,10,0.32457641263802844,0.5256426930427551,0.8676707907477138,0.8272251308900523,0.763986013986014,0.00025
