experiment,seed,epoch,train_loss,val_loss,val_auroc,val_accuracy,val_balanced_accuracy,lr
point_clean_xyzI_512,42,1,0.6808708395276751,0.7713276545206705,0.6315223238300162,0.2198952879581152,0.5394029047875202,0.001
point_clean_xyzI_512,42,2,0.5372680170195443,0.870258649190267,0.7544378698224852,0.44502617801047123,0.6468531468531469,0.001
point_clean_xyzI_512,42,3,0.4939045820917402,0.5800963640213013,0.8200645508337816,0.8115183246073299,0.7946476600322754,0.001
point_clean_xyzI_512,42,4,0.4509215922582717,0.6907496849695841,0.8364712210866057,0.7068062827225131,0.7750134480903712,0.001
point_clean_xyzI_512,42,5,0.4153190737678891,0.5107185045878092,0.8824636901559979,0.8324607329842932,0.7867132867132867,0.001
point_clean_xyzI_512,42,6,0.40044796750659034,0.6516260902086893,0.8714362560516407,0.7172774869109948,0.7809306078536848,0.001
point_clean_xyzI_512,42,7,0.3741134518668765,0.6362975736459097,0.8485745024206562,0.743455497382199,0.7364174287251211,0.001
point_clean_xyzI_512,42,8,0.367184423265003,0.5617195169130961,0.8370091447014524,0.8691099476439791,0.6888111888111889,0.0005
point_clean_xyzI_512,42,9,0.30854741093658267,0.5187034805615743,0.8698224852071006,0.8848167539267016,0.7767616998386229,0.0005
point_clean_xyzI_512,42,10,0.26615882345608305,0.6581024726231893,0.8700914470145239,0.7853403141361257,0.7798547606239914,0.0005
point_clean_xyzI_512,42,11,0.2661262197153909,0.5964461266994476,0.8862291554599246,0.837696335078534,0.8489779451317914,0.0005
point_clean_xyzI_512,42,12,0.22405831799620674,0.5139134923617045,0.8908015061861216,0.8900523560209425,0.8390263582571275,0.0005
point_clean_xyzI_512,42,13,0.22455797025135585,0.603282243013382,0.8760086067778375,0.8010471204188482,0.7887305002689617,0.0005
point_clean_xyzI_512,42,14,0.22291314885729835,0.6309685806433359,0.8136094674556213,0.8795811518324608,0.7540344271113502,0.0005
point_clean_xyzI_512,42,15,0.21940872498920985,0.6001481811205546,0.8735879505110274,0.8586387434554974,0.7817374932759548,0.00025
point_clean_xyzI_512,42,16,0.20559197735218776,0.5458564062913259,0.8800430338891877,0.8795811518324608,0.7935718128025819,0.00025
point_clean_xyzI_512,42,17,0.19549118621008738,0.49311445156733197,0.898870360408822,0.8848167539267016,0.8360677783754706,0.00025
point_clean_xyzI_512,42,18,0.17469569331123716,0.5756969451904297,0.8768154922001076,0.8638743455497382,0.8044647660032276,0.00025
point_clean_xyzI_512,42,19,0.18947172306832813,0.564817875623703,0.8665949435180204,0.8848167539267016,0.7569930069930071,0.00025
point_clean_xyzI_512,42,20,0.168868322457586,0.6018326679865519,0.8792361484669178,0.8743455497382199,0.7510758472296934,0.000125
point_clean_xyzI_512,42,21,0.1724223139740172,0.5966072579224905,0.8781603012372243,0.8691099476439791,0.8469607315761163,0.000125
point_clean_xyzI_512,42,22,0.1652684552328927,0.5259449779987335,0.8768154922001077,0.8743455497382199,0.8103819257665412,0.000125
point_clean_xyzI_512,42,23,0.16473710536956787,0.5192153453826904,0.8789671866594944,0.8848167539267016,0.7965303926842389,6.25e-05
